2.498684,0.03835
2.518932,0.036816
2.539008,0.032214
2.559112,0.019942
2.579256,0.001534
2.59934,-0.019942
2.620432,-0.04602
2.641628,-0.075165
2.662812,-0.105844
2.684036,-0.13499
2.7052,-0.161068
2.726456,-0.185612
2.747612,-0.207088
2.768768,-0.225495
2.790052,-0.239301
2.811272,-0.250039
2.832508,-0.256175
2.8537,-0.259243
2.874896,-0.259243
2.896092,-0.254641
2.917284,-0.246971
2.938564,-0.234699
2.959752,-0.219359
2.980952,-0.200952
3.00214,-0.179476
3.02334,-0.156466
3.044468,-0.131922
3.065668,-0.105844
3.086868,-0.078233
3.108068,-0.050622
3.129304,-0.019942
3.150416,0.009204
3.170596,0.03835
3.190768,0.067495
3.21084,0.095107
3.230944,0.124252
3.251004,0.15033
3.271168,0.176408
3.291248,0.199418
3.311416,0.222427
3.331516,0.242369
3.351588,0.259243
3.371728,0.274583
3.3919,0.288388
3.412008,0.299126
3.432108,0.306796
3.452168,0.312932
3.472228,0.316
3.492292,0.316
3.512472,0.314466
3.532636,0.30833
3.552812,0.30066
3.572908,0.291456
3.59308,0.279185
3.613252,0.263845
3.633348,0.246971
3.65352,0.228563
3.673596,0.207087
3.693692,0.184078
3.713836,0.161068
3.7339,0.13499
3.753964,0.108913
3.774144,0.082835
3.794352,0.055223
3.81446,0.029146
3.834524,0.003068
3.854604,-0.02301
3.875724,-0.047554
3.897004,-0.072097
3.9182,-0.095107
3.93934,-0.116582
3.960528,-0.13499
3.981724,-0.15033
4.002852,-0.164136
4.02402,-0.174874
4.045216,-0.182544
4.066428,-0.187146
4.087628,-0.18868
4.108756,-0.18868
4.12996,-0.185612
4.15116,-0.179476
4.172352,-0.168738
4.193628,-0.158
4.214836,-0.144194
4.23618,-0.128854
4.25746,-0.110446
4.27866,-0.092039
4.299828,-0.072097
4.32116,-0.050622
4.342368,-0.029146
4.363648,-0.006136
4.38488,0.016874
4.404972,0.03835
4.425044,0.059825
4.445108,0.081301
4.46518,0.101243
4.485172,0.122718
4.50556,0.141126
4.525888,0.159534
4.546064,0.176408
4.56616,0.191748
4.586332,0.204019
4.606436,0.216291
4.626588,0.227029
4.64676,0.234699
4.666932,0.240835
4.687108,0.245437
4.707208,0.246971
4.727348,0.246971
4.747448,0.245437
4.76762,0.242369
4.787764,0.236233
4.807864,0.227029
4.828036,0.217825
4.84818,0.205553
4.86828,0.191748
4.888416,0.177942
4.90848,0.161068
4.928588,0.144194
4.948692,0.125786
4.968828,0.107379
4.988928,0.087437
5.009112,0.067495
5.029208,0.047553
5.049276,0.027612
5.069392,0.00767
